Name,Link,ClassName
TwoSigma,https://careers.twosigma.com/careers/OpenRoles/?5086=%5B16718737%5D&5086_format=3149&listFilterMode=1&jobRecordsPerPage=10&,CSS:.article__header a.link
Waymo,https://careers.withwaymo.com/jobs/search?page=1&employment_type_uids%5B%5D=fa4c4a8317c6c87309f488cb0d63aa7c&country_codes%5B%5D=US&query=,CSS:.card-title.job-search-results-card-title
Stripe,https://stripe.com/jobs/search?office_locations=North+America--Atlanta&office_locations=North+America--Chicago&office_locations=North+America--Mexico+City&office_locations=North+America--New+York&office_locations=North+America--San+Francisco+Bridge+HQ&office_locations=North+America--Seattle&office_locations=North+America--South+San+Francisco&office_locations=North+America--Toronto&office_locations=North+America--Washington+DC&tags=University,CSS:.Link.JobsListings__link
Snap,https://careers.snap.com/jobs?type=Intern,CSS:.sdsm-hyperlink.css-1ekngtg
Ramp,https://ramp.com/emerging-talent,CSS:.careers-listings__title div.body-22
Workday,https://workday.wd5.myworkdayjobs.com/Workday_Early_Career/?source=Careers_Website_ec,CSS:.css-19uc56f
Atlassian,https://www.atlassian.com/company/careers/all-jobs?team=Interns&location=&search=,CSS:div table a
Cohere,https://jobs.ashbyhq.com/cohere?employmentType=Intern,CSS:._title_12ylk_383.ashby-job-posting-brief-title
Riot Games,https://www.riotgames.com/en/university-programs,CSS:.job-row.job-row--body
Datadog,https://careers.datadoghq.com/early-careers/,CSS:.job-card-title h3
Doordash,https://careersatdoordash.com/university-careers/,CSS:div.value
MongoDB,https://www.mongodb.com/company/careers/students-and-graduates,CSS:.css-qq83g2
Slack,https://slack.com/careers/type/intern,CSS:.job-listing__table-title
Splunk,https://www.splunk.com/en_us/careers/search-jobs.html?page=1&type=Intern,CSS:.job-title.splunk2-h5
Amazon Robotics,https://www.amazon.jobs/content/en/teams/ftr/amazon-robotics?country%5B%5D=US&employment-type%5B%5D=Intern,CSS:div h3 a
AMD,https://careers.amd.com/careers-home/jobs?page=1&categories=Student%20%2F%20Intern%20%2F%20Temp&limit=100&tags1=No&country=United%20States,CSS:.job-title
TikTok,https://lifeattiktok.com/search?keyword=&recruitment_id_list=202%2C301&job_category_id_list=&subject_id_list=7322364514224687370%2C7322364513776093449%2C7459987887569733896%2C7459986622530078983&location_code_list=CT_247%2CCT_94%2CCT_243%2CCT_104%2CCT_114%2CCT_75%2CCT_1103355%2CCT_157%2CCT_233&limit=12&offset=0,CSS:div a div div span.jsx-6e121975f51c1bf6
Robinhood,https://careers.robinhood.com/,CLICK:div.accordion.EARLYTALENT p->CSS:div.panel.EARLYTALENT p.job a
SpaceX,https://www.spacex.com/careers/jobs/?type=intern,CSS:table tbody tr td a
Intuit,https://jobs.intuit.com/search-jobs/interns/,CSS:section section ul li a h2
Nokia,https://fa-evmr-saasfaprod1.fa.ocs.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1/jobs?lastSelectedFacet=TITLES&location=United+States&locationId=300000000480126&locationLevel=country&mode=location&selectedTitlesFacet=TRA,CSS:.job-tile__title
EA,https://jobs.ea.com/en_US/careers/Home/?8171=%5B10618%5D&8171_format=5683&4537=%5B8693%5D&4537_format=3020&listFilterMode=1&jobRecordsPerPage=20&,CSS:.link_result
Dassault Systems,https://www.3ds.com/careers/jobs?woc=%257B%2522type%2522%253A%255B%2522type%252FInternship%2522%255D%252C%2522country%2522%253A%255B%2522country%252FUnited%2520States%2522%255D%257D,CSS:.job-card-title
Rivian,https://careers.rivian.com/careers-home/jobs?sortBy=relevance&page=1&categories=Internships,CSS:.job-title-link
Palantir,https://jobs.lever.co/palantir?commitment=Internship,CSS:.posting-title > h5
Expedia,https://careers.expediagroup.com/jobs/?keyword=emerging+talent+and+careers&&filter[category]=Technology,CSS:.Results__list__title.h4.text-blue-2
Susquehanna,https://careers.sig.com/global-susquehanna-jobs->https://careers.sig.com/discovery-days/,CSS:.job-title span
Roblox,https://careers.roblox.com/jobs?groups=early-career-talent&page=1&pageSize=9,CSS:main h4
ByteDance,https://jobs.bytedance.com/en/position?keywords=&category=&location=CT_1103355%2CCT_157%2CCT_94%2CCT_114%2CCT_100764%2CCT_75%2CCT_233%2CCT_203&project=7322364514224687370%2C7503447747358361864&type=3&job_hot_flag=&current=1&limit=10&functionCategory=&tag=,CSS:.positionItem-title-text
Jane Street,https://www.janestreet.com/join-jane-street/open-roles/?type=internship&location=new-york,CSS:.item.students-and-new-grads.position
Oracle,https://careers.oracle.com/en/sites/jobsearch/jobs?lastSelectedFacet=locations&selectedLocationsFacet=300000000106749%3B300000000149325&selectedFlexFieldsFacets=%22AttributeChar14%7CSDR%22,CSS:span.job-tile__title
Asana,https://asana.com/jobs/university-recruiting#jobs,CSS:.jobs-listing-title
Grammarly,https://www.grammarly.com/careers/jobs#all:all:intern,CSS:._15fPM-title
Adobe,https://careers.adobe.com/us/en/search-results?qkexperienceLevel=University%20Intern,CSS:.job-title
Databricks,https://www.databricks.com/company/careers/open-positions?department=University%20Recruiting&location=all,CSS:a.text-navy-06.flex.cursor-pointer
SpaceX,https://www.spacex.com/careers/jobs/?type=intern,CSS:table.jobs > tbody > tr > td > a
TSMC,https://careers.tsmc.com/en_US/careers/SearchJobs/?542=13100&542_format=486&listFilterMode=1&jobRecordsPerPage=100&,CSS:h3 a.link
Boston Scientific,https://bostonscientific.eightfold.ai/careers?start=0&location=United+States&pid=563602797912246&sort_by=distance&filter_include_remote=1&filter_seniority=Intern,CSS:div.title-1aNJK
Siemens,https://jobs.sw.siemens.com/locations/usa/jobs/?q=intern,CSS:a.space-between.align-center.relative.flex-row
Rockwell Automation,https://rockwellautomation.wd1.myworkdayjobs.com/External-Rockwell-Automation-Early-Careers,CSS:.css-19uc56f
Scheider Electric,https://careers.se.com/global/jobs?keywords=internship&sortBy=relevance&page=1&country=United%20States&tags1=Intern,CSS:a.job-title-link span
X,https://careers.x.com/en#positions,CSS:div.src__StackItemElem-iqmOUd.bxzgSn->FILTER:intern
Verkada,https://www.verkada.com/careers/,CSS:a.flex.flex-row.items-center.justify-between.py-5->FILTER:intern
Neuralink,https://neuralink.com/careers/,CSS:ul li div->FILTER:intern
Zipline,https://www.zipline.com/careers/open-roles?search=intern#,CSS:div.flex-auto.mr-6
Cloudflare,https://www.cloudflare.com/careers/jobs/?department=University&location=US,CSS:div.w-100.w-50-m.w-50-l.flex.items-center.pr-4
Capital One,"https://www.capitalonecareers.com/search-jobs?acm=ALL&alrpm=ALL&ascf=[%7B%22key%22:%22custom_fields.Campus%22,%22value%22:%22Internships%22%7D]",CSS:div.search-wrap__right > div > section > section > ul > li > a > h2
Deloitte,https://apply.deloitte.com/en_US/careers/SearchJobs/?9339=%5B480%2C477%2C478%5D&9339_format=5915&26444=%5B113185584%2C113185586%2C113185566%2C113185568%2C113185564%5D&26444_format=44221&listFilterMode=1&jobRecordsPerPage=10&sort=relevancy,CSS:h3.article__header__text__title.article__header__text__title--2
Roku,https://www.weareroku.com/jobs/search?page=1&string_field_1%5B%5D=Internships,CSS:tbody tr td a
Unity,https://unity.com/careers/positions?department=students-early-career,CSS:p.loco-text-heading-xs
Github,https://www.github.careers/careers-home/jobs?view=search&limit=100&page=1,CSS:a.job-title-link
RedHat,https://redhat.wd5.myworkdayjobs.com/jobs/?a=bc33aa3152ec42d4995f4791a106ed09&d=c18026e77576010f6ef6126f4e43ec4a,CSS:div.css-qiqmbt->FILTER:intern
Boston Dynamics,https://bostondynamics.com/careers/#jobs,CSS:a.Careers-title
Epic Games,https://www.epicgames.com/site/en-US/careers/jobs?type=Intern&page=1,CSS:div.sc-kAyceB.hDJtzF.paragraph.joblisting-title.loc-en-US
Twitch,https://careers.twitch.com/en/careers/,CSS:div.relative.py-4->FILTER:intern
Visa,https://careers.smartrecruiters.com/Visa/university-recruiting,CSS:a.link--block.details
Replit,https://jobs.ashbyhq.com/replit,CSS:div._jobPosting_12ylk_379.ashby-job-posting-brief._container_101oc_29
Vercel,https://vercel.com/careers#positions,CSS:div.flex.flex-col.justify-center.space-y-2->FILTER:intern
Hugging Face,https://apply.workable.com/huggingface/?not_found=true#jobs,CSS:h3.styles--3TJHk
Verizon,https://mycareer.verizon.com/jobs/?search=&team=Campus+%26+Apprenticeships&pagesize=100#results,CSS:h3.h2.card-title
Notion,https://app.ripplematch.com/v2/public/company/notion?tl=1edfe69a,CSS:div._root_iofby_1469._neutral_iofby_1506._disableMargin_iofby_1608.root h5
JP Morgan Chase,https://careers.jpmorgan.com/global/en/students/programs/software-engineer-summer->https://careers.jpmorgan.com/global/en/students/programs/data-analytics-opportunities#careers-section7->https://careers.jpmorgan.com/global/en/students/programs/tfsg-hackathons->https://careers.jpmorgan.com/global/en/students/programs/quant-fin-programs->https://careers.jpmorgan.com/global/en/students/programs/design-dev-summer->https://careers.jpmorgan.com/global/en/students/programs/et-experience->https://careers.jpmorgan.com/global/en/students/programs/career-edyou->https://careers.jpmorgan.com/global/en/students/programs/research-technologies-summer-associate-program,"CLICK:'//*[contains(normalize-space(), 'Apply now')]'->CSS:.program-title"
Genesis Therapeutics,https://jobs.lever.co/genesistherapeutics?commitment=Internship,CSS:a.posting-title h5
Duolingo,https://careers.duolingo.com/?type=Intern#careers->https://careers.duolingo.com/?type=Thrive+Program#careers->https://careers.duolingo.com/?type=New+Grad#careers,CSS:a.A9xxT
Scale AI,https://scale.com/careers#open-roles,"CLICK:'//button[contains(text(), 'Accept Cookies')]'->CLICK:'//button[contains(text(), 'All Departments')]':pointer->CLICK:'//div[@role='menu']//div[text()='University']'->CSS:.positions-grid_body__LWSOW a >> p.p-6"
Coinbase,https://www.coinbase.com/careers/positions?department=Internships%2520%2526%2520Emerging%2520Talent%2520Positions,CSS:p.cds-typographyResets-t6muwls.cds-title3-t14ui7y5.cds-primary-pgii67x.cds-transition-t1qvlahm.cds-start-s1u0g7ow
Disney,"https://www.disneycareers.com/en/search-jobs?acm=ALL&alrpm=6252001&ascf=[%7B%22key%22:%22custom_fields.ProgramType%22,%22value%22:%22Internship%22%7D]",CSS:ul li a h2
Goldman Sachs,https://www.goldmansachs.com/careers/students/programs-and-internships?1=gscom%3Aprogram-region-careers%2Famericas,CSS:a.gs-link.gs-uitk-c-jdfrbi--link-root--link-anchor--text-content-list-header-link
Beli,https://beli.breezy.hr/,CSS:li.position-details.flex-0 a h2
Relativity,https://job-boards.greenhouse.io/embed/job_board?for=rsinternboard,CSS:p.body.body--medium
Qualcomm,https://careers.qualcomm.com/careers?location=United%20States&seniority=Intern&domain=qualcomm.com&sort_by=relevance&triggerGoButton=true,CSS:h3.job-card-title
Leidos,https://careers.leidos.com/pages/intern-jobs?ns_landing_page_jobs=/search/job-level/intern/jobs/in/country/united-states?ns_landing_page=1,CSS:div h.space-none a
Radix Trading,https://job-boards.greenhouse.io/radixuniversity,CSS:p.body.body--medium
Razer,https://razer.wd3.myworkdayjobs.com/Careers?jobFamilyGroup=5f89d961603401a62553f98eab0c3255,CSS:.css-19uc56f
Docusign,https://careers.docusign.com/jobs?tags1=Intern&limit=100&page=1,CSS:a.job-title-link span
Konrad,https://www.konrad.com/careers/internships,CSS:.careers-listing__list-item-title
Tencent,"https://join.qq.com/post.html?query=p_2,w_407,w_408,w_401&c_t=2",CSS:.post_title
Point72,https://careers.point72.com/?experience=internships,CSS:.searchSite
Sentry,https://sentry.io/careers/internships/,CSS:.css-vpae4u.eny8y8h3
Comcast,"https://jobs.comcast.com/search-jobs?acm=ALL&alrpm=ALL&ascf=[%7B%22key%22:%22custom_fields.InternRotational%22,%22value%22:%22Intern%22%7D]",CSS:a h2
HP,https://apply.hp.com/careers?query=internship&Seniority=graduate&Seniority=internship&Seniority=Apprenticeship&domain=hp.com,CSS:.position-title.line-clamp.line-clamp-2
Skydio,https://www.skydio.com/careers#job-listing,CSS:.job-listings__title->FILTER:intern
Sony,https://sonyglobal.wd1.myworkdayjobs.com/SonyGlobalCareers?workerSubType=7306bd11847f108d51604b3183153b95,CSS:.css-19uc56f
UKG,https://apply.ukg.com/careers?pid=893380942429&Seniority=Intern&domain=ukg.com&sort_by=relevance&triggerGoButton=true,CSS:.position-title.line-clamp.line-clamp-2
Target,https://corporate.target.com/careers/job-search?referral=job-search-link&currentPage=1&jobAreas=Internships&profiles=Arrows%20Manager%7C%7CEntry%20Level&filtercondition=or,CSS:.search-results--title-link
Amentum,https://www.amentumcareers.com/jobs/search?page=1&country_codes%5B%5D=US&query=%22Intern%22,CLICK:.btn.btn-success.consent-agree->CSS:td.job-search-results-title
Boeing,https://jobs.boeing.com/category/internship-jobs/185/9287/1,CSS:.search-results__job-title
DRW,https://job-boards.greenhouse.io/drweng?departments%5B%5D=87404,CSS:p.body.body--medium
Kodiak Robotics,https://job-boards.greenhouse.io/kodiak?departments%5B%5D=4004934009,CSS:a p.body.body--medium
XPENG,https://job-boards.greenhouse.io/xpengmotors?keyword=intern,CSS:.body.body--medium
Tesla,https://www.tesla.com/careers/search/?type=intern&site=US&department=ai-robotics,UNDETECTED->CSS:.style_TitleLink__PepSM.tds-text--h4.tds-link.tds-link--secondary
C3,https://job-boards.greenhouse.io/c3ascend,CSS:.opening
Mercedes Benz,https://jobs.lever.co/MBRDNA?commitment=Intern,CSS:.posting-title h5
Mosaic,https://mosaic.wd5.myworkdayjobs.com/mosaic?workerSubType=ed8099291cc44a449715a96f49b3b316&locations=650055bade3a47079294e41cfa83d322&locations=8e6a747b95174ec58844a56e3a58fea7&locations=679a79860e514d81a6cb1f68c9c88e09&locations=5eb4fe3563194525801ecea18921c4c6,CSS:.css-19uc56f
T-Mobile,https://careers.t-mobile.com/internship,CSS:.results-list__item-title--link
Samsung,https://sec.wd3.myworkdayjobs.com/Samsung_Careers?workerSubType=189767dd6c920145d5c3e59c2c297819&Location_Country=bc33aa3152ec42d4995f4791a106ed09,CSS:.css-19uc56f
Medtronic,https://medtronic.wd1.myworkdayjobs.com/MedtronicCareers?jobFamilyGroup=be3ab1d7a62801c1c7c82b804a0529d0&locationCountry=bc33aa3152ec42d4995f4791a106ed09,CSS:li .css-b3pn3b
Akuna Capital,https://akunacapital.com/careers#careers,"CLICK:'//button[contains(text(), 'EXPERIENCE LEVEL')]'->CLICK:'//button[contains(text(), 'Intern')]':pointer->CSS:a h2"
